,Op Type,"Dimension(input, weight,output)",Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,C Effcy,Flops (GFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Roofline Throughput offchip (Tflops),Roofline Throughput onchip (Tflops),Compute Cycles,Memory Cycles,Sparsity,Total energy (mJ)
77,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
78,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
79,aten::_convolution,"([36, 80, 7, 7], [160, 80, 1, 1], [36, 160, 7, 7])",M,0.3787914034679599,51.768158473954514,0.0009692444444444443,911.0897777777777,1.0,0.0451584,0.14112,0.0128,0.28224,0.43616,46.59134262655906,46.59134262655906,46.59134262655906,345.1129756097561,911.0897777777777,0.0,346860.32985213
80,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
81,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
82,aten::mul_,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
83,aten::matmul,"([36, 4, 49, 20], [36, 4, 20, 49], [36, 4, 49, 49])",M,0.0805700191833379,11.01123595505618,0.0013955200000000001,1311.7888,1.0,0.01382976,0.14112,0.14112,0.345744,0.627984,9.91011235955056,9.91011235955056,9.91011235955056,105.69084878048781,1311.7888,0.0,885600.6326674857
84,aten::mul,"([36, 4, 49, 49], 1, [36, 4, 49, 49])",M,0.0036585312945563316,0.4999992769226987,0.0015366422222222224,1444.443688888889,1.0,0.000691488,0.345744,1e-06,0.345744,0.691489,0.4499993492304288,0.4499993492304288,0.4499993492304288,5.28454243902439,1444.443688888889,0.0,3.75e-08
85,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
86,aten::mul,"(1, 1, 1)",M,0.0024390243902439024,0.3333333333333333,6.666666666666667e-09,0.006266666666666667,1.0,2e-09,1e-06,1e-06,1e-06,3e-06,0.3,0.3,0.3,1.5284552845528455e-05,0.006266666666666667,0.0,3.75e-08
